Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 7:38,1.30258E-05,0.000819091,,4/28/11 6:25,0.04
4/28/11 7:40,1.30258E-05,0.000819091,,4/28/11 6:26,0.04
4/28/11 7:42,1.30258E-05,0.000819091,,,
4/28/11 7:44,1.30258E-05,0.000819091,,,
4/28/11 7:46,1.30258E-05,0.000819091,,,
4/28/11 7:48,1.30258E-05,0.000819091,,,
4/28/11 7:50,1.30258E-05,0.000819091,,,
4/28/11 7:52,1.30258E-05,0.000819091,,,
4/28/11 7:54,1.30258E-05,0.000819091,,,
4/28/11 7:56,1.30258E-05,0.000819091,,,
4/28/11 7:58,1.30258E-05,0.000819091,,,
4/28/11 8:00,1.30258E-05,0.000819091,,,
4/28/11 8:02,6.76E-06,0.000425083,,,
4/28/11 8:04,6.76E-06,0.000425083,,,
4/28/11 8:06,6.76E-06,0.000425083,,,
4/28/11 8:08,6.76E-06,0.000425083,,,
4/28/11 8:10,6.76E-06,0.000425083,,,
4/28/11 8:12,6.76E-06,0.000425083,,,
4/28/11 8:14,6.76E-06,0.000425083,,,
4/28/11 8:16,6.76E-06,0.000425083,,,
4/28/11 8:18,6.76E-06,0.000425083,,,
4/28/11 8:20,1.30258E-05,0.000819091,,,
4/28/11 8:22,6.76E-06,0.000425083,,,
4/28/11 8:24,6.76E-06,0.000425083,,,
4/28/11 8:26,6.76E-06,0.000425083,,,
4/28/11 8:28,6.76E-06,0.000425083,,,
4/28/11 8:30,6.76E-06,0.000425083,,,
4/28/11 8:32,6.76E-06,0.000425083,,,
4/28/11 8:34,6.76E-06,0.000425083,,,
4/28/11 8:36,6.76E-06,0.000425083,,,
4/28/11 8:38,6.76E-06,0.000425083,,,
4/28/11 8:40,6.76E-06,0.000425083,,,
4/28/11 8:42,6.76E-06,0.000425083,,,
4/28/11 8:44,6.76E-06,0.000425083,,,
4/28/11 8:46,6.76E-06,0.000425083,,,
4/28/11 8:48,6.76E-06,0.000425083,,,
4/28/11 8:50,6.76E-06,0.000425083,,,
4/28/11 8:52,6.76E-06,0.000425083,,,
4/28/11 8:54,6.76E-06,0.000425083,,,
4/28/11 8:56,6.76E-06,0.000425083,,,
4/28/11 8:58,6.76E-06,0.000425083,,,
4/28/11 9:00,6.76E-06,0.000425083,,,
4/28/11 9:02,6.76E-06,0.000425083,,,
4/28/11 9:04,6.76E-06,0.000425083,,,
4/28/11 9:06,6.76E-06,0.000425083,,,
4/28/11 9:08,6.76E-06,0.000425083,,,
4/28/11 9:10,6.76E-06,0.000425083,,,
4/28/11 9:12,6.76E-06,0.000425083,,,
4/28/11 9:14,6.76E-06,0.000425083,,,
4/28/11 9:16,6.76E-06,0.000425083,,,
4/28/11 9:18,6.76E-06,0.000425083,,,
4/28/11 9:20,6.76E-06,0.000425083,,,
4/28/11 9:22,6.76E-06,0.000425083,,,
4/28/11 9:24,6.76E-06,0.000425083,,,
4/28/11 9:26,2.77135E-06,0.000174268,,,
4/28/11 9:28,6.76E-06,0.000425083,,,
4/28/11 9:30,2.77135E-06,0.000174268,,,
4/28/11 9:32,6.76E-06,0.000425083,,,
4/28/11 9:34,6.76E-06,0.000425083,,,
4/28/11 9:36,6.76E-06,0.000425083,,,
4/28/11 9:38,6.76E-06,0.000425083,,,
4/28/11 9:40,2.77135E-06,0.000174268,,,
4/28/11 9:42,6.76E-06,0.000425083,,,
4/28/11 9:44,6.76E-06,0.000425083,,,
4/28/11 9:46,6.76E-06,0.000425083,,,
4/28/11 9:48,6.76E-06,0.000425083,,,
4/28/11 9:50,6.76E-06,0.000425083,,,
4/28/11 9:52,6.76E-06,0.000425083,,,
4/28/11 9:54,6.76E-06,0.000425083,,,
4/28/11 9:56,6.76E-06,0.000425083,,,
4/28/11 9:58,2.77135E-06,0.000174268,,,
4/28/11 10:00,6.76E-06,0.000425083,,,
4/28/11 10:02,2.77135E-06,0.000174268,,,
4/28/11 10:04,2.77135E-06,0.000174268,,,
4/28/11 10:06,2.77135E-06,0.000174268,,,
4/28/11 10:08,2.77135E-06,0.000174268,,,
4/28/11 10:10,2.77135E-06,0.000174268,,,
4/28/11 10:12,2.77135E-06,0.000174268,,,
4/28/11 10:14,2.77135E-06,0.000174268,,,
4/28/11 10:16,2.77135E-06,0.000174268,,,
